epoch,loss,loss/Rt,loss/data,loss/ic,loss/res,loss/sigma,lr,step
77,1.7869244813919067,2.7823352813720703,1.7868640422821045,6.005611066939309e-05,1.5976958422925236e-08,0.2638718783855438,,4679
,,,,,,,0.0005,4680
78,1.8095266819000244,2.7822067737579346,1.809463381767273,6.340354593703523e-05,2.3614122213189148e-08,0.28291189670562744,,4739
,,,,,,,0.0005,4740
79,1.7816336154937744,2.7833251953125,1.7815738916397095,5.914881330681965e-05,1.2038685781590175e-07,0.27966004610061646,,4799
,,,,,,,0.0005,4800
80,1.7832379341125488,2.7796027660369873,1.7831716537475586,6.455325637944043e-05,1.403208329975314e-06,0.24345165491104126,,4859
,,,,,,,0.0005,4860
81,1.8238011598587036,2.785996675491333,1.8237346410751343,6.648512498941272e-05,3.3444516134295554e-07,0.26137757301330566,,4919
,,,,,,,0.0005,4920
82,1.7834762334823608,2.7824366092681885,1.7834166288375854,5.980225250823423e-05,1.968042262490144e-08,0.25717583298683167,,4979
,,,,,,,0.0005,4980
83,1.7875128984451294,2.7830257415771484,1.7874430418014526,6.937158468645066e-05,2.6029209010403065e-08,0.23602043092250824,,5039
,,,,,,,0.0005,5040
84,1.8255126476287842,2.7869791984558105,1.8254443407058716,6.841039430582896e-05,5.500116344592243e-07,0.2530011832714081,,5099
,,,,,,,0.0005,5100
85,1.7881250381469727,2.7823688983917236,1.7880617380142212,6.338197272270918e-05,8.206303192537234e-09,0.2440824806690216,,5159
,,,,,,,0.0005,5160
86,1.7871286869049072,2.7823290824890137,1.7870562076568604,7.220942643471062e-05,1.1020019563545702e-08,0.21551848948001862,,5219
,,,,,,,0.0005,5220
87,1.8169506788253784,2.783055067062378,1.81687593460083,7.395390275632963e-05,2.1838758357262122e-07,0.2426234930753708,,5279
,,,,,,,0.0005,5280
88,1.7786344289779663,2.770071268081665,1.7785648107528687,6.456656410591677e-05,5.522185801964952e-06,0.22388231754302979,,5339
,,,,,,,0.0005,5340
89,1.7940495014190674,2.7819600105285645,1.793977975845337,7.093493331922218e-05,1.453003140028386e-08,0.21409307420253754,,5399
,,,,,,,0.0005,5400
90,1.8252426385879517,2.781898021697998,1.825171709060669,7.074050517985597e-05,6.8656977880721115e-09,0.22389155626296997,,5459
,,,,,,,0.0005,5460
91,1.7900029420852661,2.782787799835205,1.7899295091629028,7.282523438334465e-05,1.1087676554666359e-08,0.22002117335796356,,5519
,,,,,,,0.0005,5520
92,1.7869271039962769,2.7827112674713135,1.7868502140045166,7.666573219466954e-05,1.0246034243266422e-08,0.19043025374412537,,5579
,,,,,,,0.0005,5580
93,1.7945876121520996,2.782506227493286,1.7945071458816528,8.028737647691742e-05,1.206552369126257e-08,0.21565842628479004,,5639
,,,,,,,0.0005,5640
94,1.7784103155136108,2.782402753829956,1.7783377170562744,7.233540964080021e-05,1.2540585458964415e-08,0.18738454580307007,,5699
,,,,,,,0.0005,5700
95,1.8009510040283203,2.7828011512756348,1.8008718490600586,7.922239456092939e-05,1.6191194163184264e-08,0.1952686756849289,,5759
,,,,,,,0.0005,5760
96,1.80768883228302,2.7842159271240234,1.8076139688491821,7.53092099330388e-05,1.4325455310881807e-07,0.20386840403079987,,5819
,,,,,,,0.0005,5820
97,1.7876168489456177,2.7827908992767334,1.78753662109375,7.973617175593972e-05,1.7251831962994402e-08,0.19378551840782166,,5879
,,,,,,,0.0005,5880
98,1.7917728424072266,2.7822678089141846,1.7916853427886963,8.675710705574602e-05,6.47955516797083e-07,0.17628923058509827,,5939
,,,,,,,0.0005,5940
99,1.7835301160812378,2.7818050384521484,1.7834454774856567,8.441679528914392e-05,1.0237171466087602e-07,0.1624024510383606,,5999
,,,,,,,0.0005,6000
100,1.7935923337936401,2.7824573516845703,1.7934954166412354,9.590780973667279e-05,5.0146333308020985e-08,0.18741904199123383,,6059
,,,,,,,0.0005,6060
101,1.7924115657806396,2.7730653285980225,1.792319655418396,8.665602217661217e-05,4.87156466988381e-06,0.17763344943523407,,6119
,,,,,,,0.0005,6120
102,1.78694486618042,2.7825119495391846,1.7868530750274658,9.147675154963508e-05,3.0401285044945325e-08,0.16702544689178467,,6179
,,,,,,,0.0005,6180
103,1.806764841079712,2.7825660705566406,1.8066694736480713,9.552822302794084e-05,2.142189181597587e-08,0.1702432483434677,,6239
,,,,,,,0.0005,6240
104,1.779585599899292,2.7831122875213623,1.7794990539550781,8.707327651791275e-05,3.83403175874264e-08,0.15346525609493256,,6299
,,,,,,,0.0005,6300
105,1.799118161201477,2.782670497894287,1.7990257740020752,9.285964915761724e-05,1.038068297987138e-08,0.1515229493379593,,6359
,,,,,,,0.0005,6360
106,1.8089220523834229,2.7828779220581055,1.808829426765442,9.259780199499801e-05,2.4061188597102046e-08,0.17221102118492126,,6419
,,,,,,,0.0005,6420
107,1.7791075706481934,2.7827272415161133,1.779020071029663,8.781140786595643e-05,1.191814380518963e-08,0.15109696984291077,,6479
,,,,,,,0.0005,6480
108,1.7976977825164795,2.7829551696777344,1.7976012229919434,9.664367826189846e-05,2.0764977293197262e-08,0.15256479382514954,,6539
,,,,,,,0.0005,6540
109,1.805917501449585,2.7824127674102783,1.8058232069015503,9.427187615074217e-05,8.600351542042972e-09,0.16790446639060974,,6599
,,,,,,,0.0005,6600
110,1.7811806201934814,2.7819931507110596,1.7810883522033691,9.234796016244218e-05,9.898067254709986e-09,0.1483551561832428,,6659
,,,,,,,0.0005,6660
111,1.789764642715454,2.782515287399292,1.7896606922149658,0.00010363895853515714,8.602346390773619e-09,0.1503068506717682,,6719
,,,,,,,0.0005,6720
112,1.8109421730041504,2.7816057205200195,1.81084144115448,0.00010026507516158745,6.861514378897482e-08,0.15801763534545898,,6779
,,,,,,,0.0005,6780
113,1.7799192667007446,2.7814128398895264,1.779822587966919,9.653580491431057e-05,6.20815683305409e-08,0.1346137523651123,,6839
,,,,,,,0.0005,6840
114,1.8002020120620728,2.7829179763793945,1.800092101097107,0.00011000807717209682,2.8522157080601573e-08,0.14518140256404877,,6899
,,,,,,,0.0005,6900
115,1.800479531288147,2.796905040740967,1.8003705739974976,0.00010032700811279938,8.435519703198224e-06,0.14397379755973816,,6959
,,,,,,,0.0005,6960
116,1.7849459648132324,2.782752275466919,1.7848386764526367,0.0001073545718099922,1.3373778529057745e-07,0.13209281861782074,,7019
,,,,,,,0.0005,7020
117,1.7952996492385864,2.782728433609009,1.7951817512512207,0.00011806994007201865,3.773204326762425e-08,0.14169415831565857,,7079
,,,,,,,0.0005,7080
118,1.7808676958084106,2.782428026199341,1.7807652950286865,0.00010282530274707824,7.561226311736391e-09,0.11474494636058807,,7139
,,,,,,,0.0005,7140
119,1.8235669136047363,2.782296657562256,1.8234456777572632,0.0001222066639456898,4.678683662717731e-09,0.13671357929706573,,7199
,,,,,,,0.0005,7200
120,1.7908210754394531,2.78304386138916,1.790716528892517,0.00010480189666850492,8.466490619696287e-09,0.13124985992908478,,7259
,,,,,,,0.0005,7260
121,1.7951322793960571,2.78287410736084,1.795014500617981,0.0001173352575278841,3.019932393044655e-08,0.10779125243425369,,7319
,,,,,,,0.0005,7320
122,1.815295696258545,2.7813072204589844,1.8151565790176392,0.00013847251830156893,1.2075135202849197e-07,0.13354012370109558,,7379
,,,,,,,0.0005,7380
123,1.7867916822433472,2.780285596847534,1.7866709232330322,0.00012047925702063367,4.3758490164691466e-07,0.1250310093164444,,7439
,,,,,,,0.0005,7440
124,1.799578309059143,2.7832210063934326,1.7994621992111206,0.00011636155977612361,3.468325360245217e-08,0.10578685253858566,,7499
,,,,,,,0.0005,7500
125,1.7963201999664307,2.782318115234375,1.7961947917938232,0.00012588426761794835,3.878272369917113e-09,0.12286688387393951,,7559
,,,,,,,0.0005,7560
126,1.7815217971801758,2.782571315765381,1.7813971042633057,0.0001251043431693688,3.7041438805118787e-09,0.13181424140930176,,7619
,,,,,,,0.0005,7620
127,1.776971697807312,2.7824645042419434,1.776857852935791,0.00011444772098911926,3.629113676240081e-09,0.1040138378739357,,7679
,,,,,,,0.0005,7680
128,1.807124376296997,2.7825191020965576,1.8069912195205688,0.0001334595144726336,6.904782967609435e-09,0.11737217009067535,,7739
,,,,,,,0.0005,7740
129,1.8027855157852173,2.7804980278015137,1.8026636838912964,0.00012152426643297076,3.842787066332676e-07,0.11381647735834122,,7799
,,,,,,,0.0005,7800
130,1.7833149433135986,2.782231330871582,1.783182144165039,0.00013221678091213107,2.4711908963581664e-08,0.1013999655842781,,7859
,,,,,,,0.0005,7860
131,1.7959578037261963,2.782106399536133,1.7958110570907593,0.00014637268031947315,1.1961633106238878e-07,0.11267183721065521,,7919
,,,,,,,0.0005,7920
132,1.7846437692642212,2.782334089279175,1.7845052480697632,0.0001385880750603974,4.064744096865525e-09,0.1178341805934906,,7979
,,,,,,,0.0005,7980
133,1.7767845392227173,2.782285213470459,1.776653528213501,0.00013103519449941814,3.5723306979207337e-08,0.09119898825883865,,8039
,,,,,,,0.0005,8040
134,1.8071458339691162,2.782467842102051,1.8069885969161987,0.00015730138693470508,1.4487768851267901e-07,0.11701516062021255,,8099
,,,,,,,0.0005,8100
135,1.8034268617630005,2.8418655395507812,1.8031381368637085,0.00013396504800766706,0.00015484067262150347,0.11341531574726105,,8159
,,,,,,,0.00025,8160
136,1.7824069261550903,2.7860898971557617,1.7822662591934204,0.00013849331298843026,1.362009129479702e-06,0.09287963062524796,,8219
,,,,,,,0.00025,8220
137,1.7764819860458374,2.781581163406372,1.7763272523880005,0.00015487811469938606,2.3753578659579944e-07,0.09931737184524536,,8279
,,,,,,,0.00025,8280
138,1.7796835899353027,2.781686782836914,1.7795252799987793,0.0001581152610015124,3.541588711186705e-08,0.10161509364843369,,8339
,,,,,,,0.00025,8340
139,1.7702299356460571,2.7819902896881104,1.7700796127319336,0.00015006077592261136,5.631327404387321e-09,0.08373265713453293,,8399
,,,,,,,0.00025,8400
140,1.8027455806732178,2.7822113037109375,1.8025778532028198,0.00016742480511311442,2.0816239842957884e-09,0.08880133181810379,,8459
,,,,,,,0.00025,8460
141,1.773486852645874,2.782327175140381,1.773329734802246,0.0001562114921398461,2.399252352347503e-09,0.08438670635223389,,8519
,,,,,,,0.00025,8520
142,1.7975494861602783,2.782292604446411,1.7973874807357788,0.000161354269948788,2.2917416853118766e-09,0.08172975480556488,,8579
,,,,,,,0.00025,8580
143,1.7752596139907837,2.782325506210327,1.7750906944274902,0.00016874662833288312,2.435489587782058e-09,0.08793198317289352,,8639
,,,,,,,0.00025,8640
144,1.7734931707382202,2.7823476791381836,1.773323893547058,0.0001690936041995883,2.575406998772678e-09,0.0834636464715004,,8699
,,,,,,,0.00025,8700
145,1.7784757614135742,2.7823047637939453,1.778295874595642,0.00017963859136216342,2.381972175058422e-09,0.09113520383834839,,8759
,,,,,,,0.00025,8760
146,1.774102807044983,2.782243490219116,1.7739284038543701,0.00017499265959486365,2.115099428934286e-09,0.08357842266559601,,8819
,,,,,,,0.00025,8820
147,1.7787251472473145,2.7823691368103027,1.7785460948944092,0.00017995639063883573,2.871406890037065e-09,0.08217176049947739,,8879
,,,,,,,0.00025,8880
148,1.774933099746704,2.7821803092956543,1.7747576236724854,0.00017389751155860722,2.169298296550437e-09,0.08197193592786789,,8939
,,,,,,,0.00025,8940
149,1.7742434740066528,2.782384157180786,1.774067759513855,0.00017551184282638133,3.5667637732217372e-09,0.07879065722227097,,8999
,,,,,,,0.00025,9000
150,1.7797349691390991,2.782291889190674,1.7795422077178955,0.00019285503367427737,2.4497759376629347e-09,0.09278154373168945,,9059
,,,,,,,0.00025,9060
151,1.7772953510284424,2.7820706367492676,1.7771155834197998,0.00017980780103243887,2.710081936641018e-09,0.08424561470746994,,9119
,,,,,,,0.00025,9120
152,1.7822407484054565,2.7824501991271973,1.7820631265640259,0.00017785641830414534,4.2137391353946896e-09,0.07638994604349136,,9179
,,,,,,,0.00025,9180
153,1.7757176160812378,2.7821338176727295,1.7755330801010132,0.0001854606089182198,2.4019153332943688e-09,0.08279727399349213,,9239
,,,,,,,0.00025,9240
154,1.772279143333435,2.782150983810425,1.7720929384231567,0.00018571903638076037,2.3219415279385203e-09,0.07872539013624191,,9299
,,,,,,,0.00025,9300
155,1.7751686573028564,2.782181978225708,1.7749742269515991,0.00019426594371907413,2.4424600120198647e-09,0.08133146911859512,,9359
,,,,,,,0.00025,9360
156,1.7742364406585693,2.7819554805755615,1.7740508317947388,0.00018631046987138689,3.5687806043682713e-09,0.07845862209796906,,9419
,,,,,,,0.00025,9420
157,1.7729865312576294,2.7821598052978516,1.7727973461151123,0.00018892814114224166,2.809827259753206e-09,0.07317578792572021,,9479
,,,,,,,0.00025,9480
158,1.7792713642120361,2.782132148742676,1.7790558338165283,0.00021536463464144617,3.332349729490147e-09,0.08896801620721817,,9539
,,,,,,,0.00025,9540
159,1.7744314670562744,2.7818801403045654,1.7742382287979126,0.00019339438586030155,2.2522808063030197e-09,0.0781908631324768,,9599
,,,,,,,0.00025,9600
