epoch,loss,loss/Rt,loss/data,loss/res,loss/sigma,lr,step
42,2.257398843765259,2.839435577392578,2.257398843765259,1.9671313467028995e-08,0.14362749457359314,,2579
,,,,,,0.0005,2580
43,2.2583189010620117,2.8362298011779785,2.258315324783325,3.7419283671624726e-06,0.14386962354183197,,2639
,,,,,,0.0005,2640
44,2.2539713382720947,2.7550272941589355,2.2539281845092773,4.2789295548573136e-05,0.1438334435224533,,2699
,,,,,,0.0005,2700
45,2.2646994590759277,2.891071081161499,2.264697551727295,1.8714854377321899e-06,0.14437684416770935,,2759
,,,,,,0.0005,2760
46,2.262373447418213,2.861384391784668,2.2623729705810547,6.021697913638491e-07,0.14505310356616974,,2819
,,,,,,0.0005,2820
47,2.263434886932373,2.848604917526245,2.263434886932373,1.2771252499987895e-07,0.14374041557312012,,2879
,,,,,,0.0005,2880
