epoch,loss,loss/data,loss/ic,loss/res,loss/smma,lr,step
,,,,,,0.0005,4600
100,0.0037206816487014294,0.0033565140329301357,1.1304039617243689e-05,0.00035286310594528913,0.026123229414224625,,4645
,,,,,,0.0005,4646
101,0.003618767252191901,0.0033243915531784296,5.18272918270668e-06,0.0002891921321861446,0.025673139840364456,,4691
,,,,,,0.0005,4692
102,0.0034916421864181757,0.003145240480080247,2.132161898771301e-05,0.0003250795998610556,0.02522950991988182,,4737
,,,,,,0.0005,4738
103,0.0033704142551869154,0.0030701435171067715,1.8082582755596377e-05,0.00028218768420629203,0.024792328476905823,,4783
,,,,,,0.0005,4784
104,0.0032184571027755737,0.0029010542202740908,3.13375931000337e-05,0.0002860653621610254,0.02436085045337677,,4829
,,,,,,0.0005,4830
105,0.003098788671195507,0.0028061913326382637,1.3175431377021596e-05,0.0002794219763018191,0.023935608565807343,,4875
,,,,,,0.0005,4876
106,0.0031230649910867214,0.0027199198957532644,1.2518084986368194e-05,0.00039062753785401583,0.023519357666373253,,4921
,,,,,,0.0005,4922
107,0.0029589326586574316,0.0026578011456876993,1.381899528496433e-05,0.0002873126941267401,0.02310815081000328,,4967
,,,,,,0.0005,4968
108,0.0028021226171404123,0.00250174175016582,1.7592983567737974e-05,0.00028278829995542765,0.02270202897489071,,5013
,,,,,,0.0005,5014
109,0.0027212516870349646,0.0023281374014914036,8.460829121759161e-05,0.0003085059579461813,0.0223024133592844,,5059
,,,,,,0.0005,5060
110,0.0026259319856762886,0.0022324691526591778,9.281115490011871e-05,0.00030065191094763577,0.02190888486802578,,5105
,,,,,,0.0005,5106
111,0.0024985226336866617,0.002172777196392417,1.1689863640640397e-05,0.00031405530171468854,0.02152067795395851,,5151
,,,,,,0.0005,5152
112,0.0025168636348098516,0.0021247337572276592,1.7073632989195175e-05,0.00037505579530261457,0.021140601485967636,,5197
,,,,,,0.0005,5198
113,0.00240367092192173,0.0019626205321401358,0.00011608564091147855,0.00032496469793841243,0.020765861496329308,,5243
,,,,,,0.0005,5244
114,0.002795886481180787,0.0019576915074139833,0.00044082081876695156,0.00039737342740409076,0.020406462252140045,,5289
,,,,,,0.0005,5290
115,0.0028156584594398737,0.0019645490683615208,0.000370629015378654,0.0004804802592843771,0.020054645836353302,,5335
,,,,,,0.0005,5336
116,0.002410800661891699,0.002017965307459235,9.724016126710922e-05,0.00029559576069004834,0.019701769575476646,,5381
,,,,,,0.0005,5382
117,0.0021441932767629623,0.0017925204010680318,8.489497849950567e-05,0.00026677772984839976,0.01935061812400818,,5427
,,,,,,0.0005,5428
118,0.0024229756090790033,0.0017367210239171982,0.00016663430142216384,0.0005196203128434718,0.01901206560432911,,5473
,,,,,,0.0005,5474
119,0.0021614942234009504,0.0016875130822882056,0.00019817354041151702,0.0002758076007012278,0.018675053492188454,,5519
,,,,,,0.0005,5520
120,0.002011388074606657,0.0016120134387165308,8.943177090259269e-05,0.00030994322150945663,0.018341779708862305,,5565
,,,,,,0.0005,5566
121,0.0017653809627518058,0.0014439115766435862,9.040511031344067e-06,0.00031242924160324037,0.018010253086686134,,5611
,,,,,,0.0005,5612
122,0.0023624186869710684,0.0015997482696548104,0.00021923125314060599,0.0005434394697658718,0.017697295174002647,,5657
,,,,,,0.0005,5658
123,0.0020066103897988796,0.0015599617036059499,0.00014503003330901265,0.00030161827453412116,0.017383482307195663,,5703
,,,,,,0.0005,5704
124,0.0018150139367207885,0.001421891269274056,0.00016497325850650668,0.0002281490305904299,0.01707211323082447,,5749
,,,,,,0.0005,5750
125,0.002092513954266906,0.0014136219397187233,0.00020968510943930596,0.0004692076472565532,0.016772521659731865,,5795
,,,,,,0.0005,5796
126,0.001947806216776371,0.0014601645525544882,6.841425783932209e-05,0.00041922813397832215,0.01647602580487728,,5841
,,,,,,0.0005,5842
127,0.0017598941922187805,0.001263173297047615,0.00027147328364662826,0.00022524758242070675,0.01618170365691185,,5887
,,,,,,0.0005,5888
128,0.0015768365701660514,0.0012382724089547992,3.744497735169716e-05,0.00030111926025711,0.01588960736989975,,5933
,,,,,,0.0005,5934
129,0.0015346006257459521,0.0012014650274068117,1.3268988368508872e-05,0.0003198669000994414,0.015602506697177887,,5979
,,,,,,0.0005,5980
130,0.002005497459322214,0.0012569278478622437,7.610037573613226e-05,0.0006724694976583123,0.015330566093325615,,6025
,,,,,,0.0005,6026
131,0.0014441604726016521,0.0012224222300574183,5.789776332676411e-05,0.0001638406392885372,0.015052838250994682,,6071
,,,,,,0.0005,6072
132,0.0012953204568475485,0.0010717535624280572,1.0964043212879915e-05,0.00021260292851366103,0.01477768737822771,,6117
,,,,,,0.0005,6118
133,0.0013368501095101237,0.0010172459296882153,4.372790863271803e-05,0.0002758766640909016,0.014508871361613274,,6163
,,,,,,0.0005,6164
134,0.0013121473602950573,0.0010145835112780333,4.799353973794496e-06,0.00029276442364789546,0.014244936406612396,,6209
,,,,,,0.0005,6210
135,0.0019574875477701426,0.00101993337739259,2.047395901172422e-05,0.0009170803823508322,0.013999187387526035,,6255
,,,,,,0.0005,6256
136,0.0014882718678563833,0.0010531090665608644,0.0001818181190174073,0.0002533448860049248,0.013748968951404095,,6301
,,,,,,0.0005,6302
137,0.0015984735218808055,0.0009525690111331642,3.847301923087798e-05,0.0006074316916055977,0.013505958952009678,,6347
,,,,,,0.0005,6348
138,0.0014762954087927938,0.0008131981012411416,0.0001309205690631643,0.0005321765202097595,0.013265365734696388,,6393
,,,,,,0.0005,6394
139,0.0012330173049122095,0.0008872471516951919,9.405861055711284e-05,0.00025171172455884516,0.013024719431996346,,6439
,,,,,,0.0005,6440
140,0.0018255272880196571,0.000882430060300976,3.0411236366489902e-05,0.0009126862278208137,0.012800735421478748,,6485
,,,,,,0.0005,6486
141,0.0016011123079806566,0.0009735593339428306,0.0002681616460904479,0.0003593910369090736,0.01257674302905798,,6531
,,,,,,0.0005,6532
142,0.001276094000786543,0.0008715800358913839,6.789580220356584e-05,0.0003366180753801018,0.012350729666650295,,6577
,,,,,,0.0005,6578
143,0.0009410990751348436,0.000724624958820641,9.219269486493431e-06,0.00020725475042127073,0.01212253700941801,,6623
,,,,,,0.0005,6624
144,0.0013664840953424573,0.0008785570389591157,7.107990768417949e-06,0.00048081937711685896,0.011907416395843029,,6669
,,,,,,0.0005,6670
145,0.0018372900085523725,0.0008812082232907414,8.445024286629632e-05,0.0008716320153325796,0.011706013232469559,,6715
,,,,,,0.0005,6716
146,0.0013259955449029803,0.0007339895819313824,0.000255923077929765,0.00033608273952268064,0.011498413048684597,,6761
,,,,,,0.0005,6762
147,0.0012099354062229395,0.0007231495110318065,8.901311048248317e-06,0.00047788475058041513,0.01129264384508133,,6807
,,,,,,0.0005,6808
148,0.0012765319552272558,0.000703538185916841,5.98700025875587e-05,0.0005131238140165806,0.011092321015894413,,6853
,,,,,,0.0005,6854
149,0.0010784096084535122,0.0005703123169951141,0.0001268060295842588,0.00038129123277030885,0.010892042890191078,,6899
,,,,,,0.0005,6900
150,0.0013151158345863223,0.0007660140399821103,0.00013448044774122536,0.00041462131775915623,0.010700504295527935,,6945
,,,,,,0.0005,6946
151,0.0014573766384273767,0.0006566873635165393,0.00016472293646074831,0.000635966076515615,0.01051564235240221,,6991
,,,,,,0.0005,6992
152,0.001722782850265503,0.00069230463122949,0.00035845645470544696,0.0006720214732922614,0.010339785367250443,,7037
,,,,,,0.0005,7038
153,0.0016062685754150152,0.0006199050694704056,0.0007125323172658682,0.00027383107226341963,0.010165114887058735,,7083
,,,,,,0.0005,7084
154,0.0010808426886796951,0.0006086070789024234,0.00012179427722003311,0.000350441609043628,0.009983428753912449,,7129
,,,,,,0.0005,7130
