epoch,loss,loss/data,loss/data/I,loss/ic,loss/ic/I0,loss/ic/S0,loss/res,loss/res/I,loss/res/S,loss/smma,lr,params/beta,step
47,0.007354886271059513,0.007136101834475994,0.007136101834475994,2.067167542918469e-06,1.8223400957140257e-06,2.44827305095896e-07,0.00021671876311302185,9.439748964723549e-07,1.2232123935973505e-06,,,0.27354228496551514,2207
,,,,,,,,,,,0.0005,,2208
48,0.007360497489571571,0.00716961408033967,0.00716961408033967,2.0730760752485367e-06,1.868646336333768e-06,2.044300515535724e-07,0.0001888104306999594,7.666322403565573e-07,1.1214722235308727e-06,,,0.2740338146686554,2253
,,,,,,,,,,,0.0005,,2254
49,0.007347079459577799,0.007130482699722052,0.007130482699722052,1.9572350993257714e-06,1.695262312750856e-06,2.619731560571381e-07,0.0002146391780115664,9.418310469300195e-07,1.2045607036270667e-06,,,0.2738378942012787,2299
,,,,,,,,,,,0.0005,,2300
50,0.007371881045401096,0.007188471034169197,0.007188471034169197,1.9511403479555156e-06,1.782251160875603e-06,1.6888893128452764e-07,0.00018145768262911588,6.454773711084272e-07,1.1690993915181025e-06,,,0.27454206347465515,2345
,,,,,,,,,,,0.0005,,2346
51,0.007442759815603495,0.007209843955934048,0.007209843955934048,1.8535131403041305e-06,1.6304555856549996e-06,2.2305746938400262e-07,0.0002310638374183327,9.613225984139717e-07,1.3493155393007328e-06,,,0.2736700475215912,2391
,,,,,,,,,,,0.0005,,2392
52,0.0074377963319420815,0.007230991031974554,0.007230991031974554,1.9599433471739758e-06,1.7298100374318892e-06,2.3013309657926584e-07,0.00020484715059865266,7.464065561180178e-07,1.3020652431805502e-06,0.01918645203113556,,0.2740313708782196,2437
,,,,,,,,,,,0.0005,,2438
53,0.007384752854704857,0.007107245270162821,0.007107245270162821,3.052928377655917e-06,1.6867332988113048e-06,1.3661967841471778e-06,0.000274454738246277,5.242774250291404e-07,2.220269607278169e-06,0.018950417637825012,,0.27379170060157776,2483
,,,,,,,,,,,0.0005,,2484
54,0.007288753055036068,0.007155950181186199,0.007155950181186199,1.9549374883354176e-06,1.6211715774261393e-06,3.337660814395349e-07,0.00013084968668408692,6.106909040681785e-07,6.978059445827967e-07,0.01871718466281891,,0.2725008428096771,2529
,,,,,,,,,,,0.0005,,2530
55,0.007264453452080488,0.007112595718353987,0.007112595718353987,1.7120413531301892e-06,1.5808610669409973e-06,1.311799451286788e-07,0.00015014555538073182,6.399104677257128e-07,8.615451747573388e-07,0.01848812960088253,,0.2735998332500458,2575
,,,,,,,,,,,0.0005,,2576
56,0.007223989348858595,0.007076606620103121,0.007076606620103121,1.6636605550957029e-06,1.4853067114017904e-06,1.783536731636559e-07,0.00014571819338016212,6.741079232597258e-07,7.830743697923026e-07,0.018262848258018494,,0.27391713857650757,2621
,,,,,,,,,,,0.0005,,2622
57,0.007222008891403675,0.007068889681249857,0.007068889681249857,1.6864885310496902e-06,1.5195066680462332e-06,1.6698214722055127e-07,0.00015143155178520828,5.308947379489837e-07,9.834210459302994e-07,0.018042029812932014,,0.275045245885849,2667
,,,,,,,,,,,0.0005,,2668
58,0.007379745598882437,0.007145211566239595,0.007145211566239595,1.6068237300714827e-06,1.4071836176299257e-06,1.9963999875471927e-07,0.00023292808327823877,9.163021559288609e-07,1.412978463122272e-06,0.01782878488302231,,0.27406975626945496,2713
,,,,,,,,,,,0.0005,,2714
59,0.007463389076292515,0.00725678913295269,0.00725678913295269,1.932903160195565e-06,1.6230086430368829e-06,3.098942329415877e-07,0.00020466595015022904,5.276133379084058e-07,1.5190462363534607e-06,0.0176214762032032,,0.2753535509109497,2759
,,,,,,,,,,,0.0005,,2760
60,0.00719522126019001,0.007063141092658043,0.007063141092658043,1.6330883454429568e-06,1.478987996961223e-06,1.5410036269258853e-07,0.00013044760271441191,5.483850600285223e-07,7.560910262327525e-07,0.017412951216101646,,0.2733268141746521,2805
,,,,,,,,,,,0.0005,,2806
61,0.007288741879165173,0.007065402343869209,0.007065402343869209,2.029728648267337e-06,1.5997620721464045e-06,4.2996671822947974e-07,0.00022130836441647261,4.91576884087408e-07,1.7215072602994042e-06,0.017210466787219048,,0.27449479699134827,2851
,,,,,,,,,,,0.0005,,2852
62,0.0076477183029055595,0.0074345869943499565,0.0074345869943499565,2.61432865045208e-06,1.4988531802373473e-06,1.115475470214733e-06,0.000210520374821499,6.611451794924506e-07,1.444058739252796e-06,0.017019212245941162,,0.27157023549079895,2897
,,,,,,,,,,,0.0005,,2898
63,0.007630873937159777,0.007404199801385403,0.007404199801385403,2.2279625682131154e-06,1.770679318724433e-06,4.5728293684987875e-07,0.00022444540809374303,5.160185310160159e-07,1.7284353361901594e-06,0.016831446439027786,,0.2725062072277069,2943
,,,,,,,,,,,0.0005,,2944
64,0.007304753642529249,0.007134702987968922,0.007134702987968922,2.324144361409708e-06,1.9889466784661636e-06,3.3519796716063865e-07,0.00016772888193372637,3.694510724017164e-07,1.3078380334263784e-06,0.016640912741422653,,0.271001398563385,2989
,,,,,,,,,,,0.0005,,2990
