epoch,internal/smma_improvement,loss,loss/data,loss/data/I,loss/ic,loss/ic/I0,loss/ic/S0,loss/res,loss/res/I,loss/res/S,loss/smma,lr,params/beta,step
50,,0.007372986990958452,0.007118857931345701,0.007118857931345701,2.3957761641213438e-06,1.4130540648693568e-06,9.827222129388247e-07,0.000251734018092975,1.0752354455689783e-06,1.4421048035728745e-06,,,0.2776770293712616,2345
,,,,,,,,,,,,0.0005,,2346
51,,0.0074076056480407715,0.007194336503744125,0.007194336503744125,1.8944475641546887e-06,1.4877946341584902e-06,4.0665298683961737e-07,0.0002113733789883554,7.647410598110582e-07,1.3489930097421166e-06,,,0.2781412899494171,2391
,,,,,,,,,,,,0.0005,,2392
52,,0.007305961102247238,0.007128698751330376,0.007128698751330376,1.8394341623206856e-06,1.5085091717992327e-06,3.309253031602566e-07,0.00017542239220347255,6.16883824022807e-07,1.1373400639058673e-06,0.04910387843847275,,0.2782224416732788,2437
,,,,,,,,,,,,0.0005,,2438
53,,0.00752989063039422,0.007293712813407183,0.007293712813407183,2.2735239326721057e-06,1.3288647551235044e-06,9.446592343920202e-07,0.0002339055499760434,8.824570159049472e-07,1.4565982837666525e-06,0.04827239736914635,,0.2770376205444336,2483
,,,,,,,,,,,,0.0005,,2484
54,,0.007506133988499641,0.007274402305483818,0.007274402305483818,1.7865401105154888e-06,1.404446152264427e-06,3.8209387298593356e-07,0.00022994862229097635,6.645962571383279e-07,1.6348901681340067e-06,0.047457072883844376,,0.27648791670799255,2529
,,,,,,,,,,,,0.0005,,2530
55,,0.007305682636797428,0.007127727847546339,0.007127727847546339,1.8708608422457473e-06,1.5416921996802557e-06,3.291684436135256e-07,0.00017608281632419676,6.002088070999889e-07,1.1606198313529603e-06,0.04665404558181763,,0.27633389830589294,2575
,,,,,,,,,,,,0.0005,,2576
56,,0.007432479877024889,0.007209090981632471,0.007209090981632471,2.473469749020296e-06,1.3362416666495847e-06,1.1372280823707115e-06,0.00022091585560701787,8.252814609477355e-07,1.3838766790286172e-06,0.0458696149289608,,0.27506959438323975,2621
,,,,,,,,,,,,0.0005,,2622
57,,0.007578522898256779,0.007349070627242327,0.007349070627242327,1.9871497443091357e-06,1.4825197922618827e-06,5.046297815169964e-07,0.0002274669532198459,5.786142764918623e-07,1.6960556195044774e-06,0.04510379210114479,,0.2747815251350403,2667
,,,,,,,,,,,,0.0005,,2668
58,,0.007336304523050785,0.007172421086579561,0.007172421086579561,1.8367167058386258e-06,1.5130442534427857e-06,3.2367253766096837e-07,0.00016204714484047145,4.3208311240050534e-07,1.188388296213816e-06,0.04434844106435776,,0.27426770329475403,2713
,,,,,,,,,,,,0.0005,,2714
59,,0.008357616141438484,0.008109471760690212,0.008109471760690212,2.2477772745332913e-06,1.6936808151513105e-06,5.540965162253997e-07,0.0002458951494190842,1.0199164535151795e-06,1.4390352589543909e-06,0.04362862557172775,,0.27263784408569336,2759
,,,,,,,,,,,,0.0005,,2760
60,,0.007769100368022919,0.007514845114201307,0.007514845114201307,2.1523082978092134e-06,1.371937287331093e-06,7.80371124164958e-07,0.0002521010464988649,6.249055672924442e-07,1.89610511824867e-06,0.04291143640875816,,0.27275270223617554,2805
,,,,,,,,,,,,0.0005,,2806
61,,0.007341922260820866,0.007179646752774715,0.007179646752774715,1.765871047609835e-06,1.5443712300111656e-06,2.2149984602037875e-07,0.00016051062266342342,4.4822283484791114e-07,1.1568833997444017e-06,0.04220004379749298,,0.270546555519104,2851
,,,,,,,,,,,,0.0005,,2852
62,,0.008090472780168056,0.007869156077504158,0.007869156077504158,2.389769178989809e-06,1.8097096017299918e-06,5.800598046334926e-07,0.00021892826771363616,7.650226621080947e-07,1.4242601764635765e-06,0.04151785373687744,,0.26814404129981995,2897
,,,,,,,,,,,,0.0005,,2898
63,,0.007680573500692844,0.007432412821799517,0.007432412821799517,2.407791043879115e-06,1.8652378912520362e-06,5.425529252534034e-07,0.00024575411225669086,6.134550858405419e-07,1.8440855455992278e-06,0.040841106325387955,,0.2698144316673279,2943
,,,,,,,,,,,,0.0005,,2944
64,,0.00729202339425683,0.0070975832641124725,0.0070975832641124725,2.59366538557515e-06,2.184472577937413e-06,4.091922392035485e-07,0.00019184628035873175,4.254050338658999e-07,1.4930576526239747e-06,0.04017012566328049,,0.268297016620636,2989
,,,,,,,,,,,,0.0005,,2990
65,,0.007954905740916729,0.007767701521515846,0.007767701521515846,2.519948111512349e-06,2.1229827780189225e-06,3.969652766500076e-07,0.0001846841914812103,5.855021640854829e-07,1.2613396620508865e-06,0.039525821805000305,,0.26530641317367554,3035
,,,,,,,,,,,,0.0005,,3036
66,,0.0074976906180381775,0.0072271074168384075,0.0072271074168384075,3.419447693886468e-06,2.6909540338238003e-06,7.284934895324113e-07,0.00026716385036706924,5.928527571086306e-07,2.0787852008652408e-06,0.03888525813817978,,0.26709336042404175,3081
,,,,,,,,,,,,0.0005,,3082
67,,0.0070726303383708,0.006800562143325806,0.006800562143325806,4.946292847307632e-06,3.5290590858494397e-06,1.417233761458192e-06,0.0002671226975508034,5.73343811538507e-07,2.0978832253604196e-06,0.03824900463223457,,0.26589256525039673,3127
,,,,,,,,,,,,0.0005,,3128
68,,0.007235846482217312,0.006970551330596209,0.006970551330596209,4.548690412775613e-06,3.31458841174026e-06,1.2341027968432172e-06,0.00026074497145600617,4.721568700460921e-07,2.13529324355477e-06,0.037628743797540665,,0.262517511844635,3173
,,,,,,,,,,,,0.0005,,3174
69,,0.009703036397695541,0.008290090598165989,0.008290090598165989,7.509832357754931e-05,4.5681616029469296e-05,2.941670572909061e-05,0.0013378467410802841,4.847384388995124e-06,8.531083949492313e-06,0.03707022964954376,,0.26098498702049255,3219
,,,,,,,,,,,,0.0005,,3220
70,,0.009240689687430859,0.008952169679105282,0.008952169679105282,0.0001337055437033996,0.00012761502875946462,6.090514034440275e-06,0.00015481602167710662,6.25138397936098e-07,9.230222417500045e-07,0.036513637751340866,,0.25874367356300354,3265
,,,,,,,,,,,,0.0005,,3266
71,,0.008841362781822681,0.00857918243855238,0.00857918243855238,0.00021951773669570684,0.00021948223002254963,3.542447757354239e-08,4.266251198714599e-05,3.174307892095385e-07,1.0919436732592658e-07,0.03596019372344017,,0.2519897222518921,3311
,,,,,,,,,,,,0.0005,,3312
72,,0.008680837228894234,0.008451303467154503,0.008451303467154503,0.00012255874753464013,0.00012245835387147963,1.0038124997890918e-07,0.00010697484685806558,7.446330414495606e-07,3.251154225836217e-07,0.03541460633277893,,0.24814273416996002,3357
,,,,,,,,,,,,0.0005,,3358
73,,0.00844578817486763,0.008274550549685955,0.008274550549685955,6.748604209860787e-05,6.733185728080571e-05,1.5418444831993838e-07,0.00010374892735853791,5.454950269268011e-07,4.919943421555217e-07,0.03487522900104523,,0.2525760531425476,3403
,,,,,,,,,,,,0.0005,,3404
74,,0.008261939510703087,0.00804293155670166,0.00804293155670166,3.8119345845188946e-05,3.733570338226855e-05,7.836446229703142e-07,0.00018088880460709333,5.894137302675517e-07,1.219474256686226e-06,0.03434296324849129,,0.25469377636909485,3449
,,,,,,,,,,,,0.0005,,3450
75,,0.007914088666439056,0.007734090555459261,0.007734090555459261,2.0449795556487516e-05,1.928019628394395e-05,1.1696005230987794e-06,0.00015954980335664004,5.113187171446043e-07,1.084179530153051e-06,0.033814385533332825,,0.2569752037525177,3495
,,,,,,,,,,,,0.0005,,3496
76,,0.007684995420277119,0.007527939509600401,0.007527939509600401,1.1988731785095297e-05,1.1731693120964337e-05,2.570388915046351e-07,0.00014506962907034904,3.938124848446023e-07,1.0568842299107928e-06,0.03329179808497429,,0.2588788866996765,3541
,,,,,,,,,,,,0.0005,,3542
77,,0.007647909689694643,0.007435192354023457,0.007435192354023457,9.607577339920681e-06,9.327500265499111e-06,2.800766765176377e-07,0.0002031108015216887,8.909157145353674e-07,1.1401921256037895e-06,0.032778918743133545,,0.2576562464237213,3587
,,,,,,,,,,,,0.0005,,3588
78,,0.00776333175599575,0.007580094505101442,0.007580094505101442,8.577960215916391e-06,8.01067471911665e-06,5.672844167747826e-07,0.0001746571360854432,4.898313363810303e-07,1.2567401199703454e-06,0.03227860853075981,,0.26300835609436035,3633
,,,,,,,,,,,,0.0005,,3634
79,,0.007504653185606003,0.007367091719061136,0.007367091719061136,8.06801654107403e-06,7.660577466594987e-06,4.074391881658812e-07,0.00012949285155627877,4.117049456908717e-07,8.832234357214475e-07,0.03178313001990318,,0.26356300711631775,3679
,,,,,,,,,,,,0.0005,,3680
