epoch,loss,loss/Rt,loss/data,loss/ic,loss/res,loss/sigma,lr,step
60,2.1713855266571045,2.4363579750061035,2.1711478233337402,4.420338370891841e-07,0.00023738892923574895,0.14082391560077667,,3659
,,,,,,,0.0005,3660
61,2.1698906421661377,2.4524734020233154,2.1696290969848633,3.765766223295941e-07,0.00026042506215162575,0.1707983762025833,,3719
,,,,,,,0.0005,3720
62,2.1331734657287598,2.4126665592193604,2.132741689682007,3.3767378226912115e-07,0.000431344989920035,0.22382821142673492,,3779
,,,,,,,0.0005,3780
63,2.0927274227142334,2.369640588760376,2.092268466949463,3.101973220509535e-07,0.00045933862566016614,0.2516772747039795,,3839
,,,,,,,0.0005,3840
64,2.0742056369781494,2.4247586727142334,2.0735621452331543,2.5728664354573993e-07,0.0006424575694836676,0.29056885838508606,,3899
,,,,,,,0.0005,3900
65,2.0320513248443604,2.242232084274292,2.031569480895996,1.8164161019740277e-07,0.0004816955770365894,0.3435661196708679,,3959
,,,,,,,0.0005,3960
66,2.003718137741089,2.11362361907959,2.0032341480255127,1.5746995529752894e-07,0.00048390773008577526,0.4056917726993561,,4019
,,,,,,,0.0005,4020
67,1.9437452554702759,1.984480619430542,1.9431097507476807,1.2072993627043616e-07,0.0006358763203024864,0.42964643239974976,,4079
,,,,,,,0.0005,4080
68,1.9959092140197754,2.00885272026062,1.9952304363250732,1.0985164067278674e-07,0.0006782907876186073,0.46454867720603943,,4139
,,,,,,,0.0005,4140
69,1.897122859954834,2.024198532104492,1.8964673280715942,9.862959160500395e-08,0.0006557790911756456,0.4974098801612854,,4199
,,,,,,,0.0005,4200
70,1.870659351348877,1.984339714050293,1.870061993598938,6.956926767998084e-08,0.0005966352764517069,0.508141279220581,,4259
,,,,,,,0.0005,4260
71,1.9596917629241943,2.631030321121216,1.958722710609436,7.320470274407853e-08,0.0009693318861536682,0.533748984336853,,4319
,,,,,,,0.0005,4320
72,1.827989935874939,2.8138492107391357,1.8272532224655151,7.708784721671691e-08,0.0007369146915152669,0.5562399625778198,,4379
